filename,starcoder2-3B-2000beg,starcoder2B-2000end,starcoder2B-2000mid
PostScript,46.71753417356,47.84870271402,40.84802379984
PowerBuilder,84.80078591512,80.54880723704,74.79791100868
PowerShell,63.67554225708,51.53807522436,50.04182556712
Praat,45.73785939156,38.41540047652,37.568933469840005
Prisma,68.0721949156,69.6995743007,62.4030715024
Processing,16.43256500852,12.783263204339999,13.26956891328
Procfile,14.23487371452,12.59076178484,11.68506316028
Proguard,43.57854450256,39.77574395502,38.65041942384
Prolog,142.1156016572,132.2165433584,126.2981444028
Promela,100.76129217364,95.74939656437999,91.16696501896
Propeller Spin,155.9183023612,137.4915480754,121.7512640228
Protocol Buffer,13.84311339752,13.99335228334,13.17473753328
Protocol Buffer Text Format,63.41058070708,57.30285553236,49.16343102112
Public Key,96.58195723364,99.32536198238,88.19486776196
Pug,29.07860139004,27.613373306679996,24.00228654656
Puppet,75.9321394206,69.78028713169999,60.9045665554
PureBasic,27.951060149040003,29.98079181568,27.613489266560002
PureScript,56.776935663079996,54.26325010036,49.34209044912
Pyret,18.74246132252,12.11518996084,12.01516218328
Python,309.95027031792,290.45783158314,255.69650594188
Q#,28.14625805604,26.66773286668,29.73367565356
QML,13.95693137852,13.63373130834,12.47349336928
QMake,56.957508342080004,55.15128885236,51.413053432119995
Qt Script,30.994405705040002,27.16551071368,25.342022961559998
Quake,28.16186061804,27.98404856968,23.23657596356
QuickBASIC,43.81593368556,41.87315748052,39.31909642984
R,113.68351390315999,110.68827794571999,98.92146850323999
RAML,12.65815094452,12.30368282434,11.19281391128
RBS,14.23284922852,14.34422735434,12.27013295928
RDoc,15.71824049852,12.32742334884,12.72544468728
REXX,57.57809421808,54.445580760359995,50.40226119612
RMarkdown,29.088592724039998,31.16083400368,25.42684229756
RON,13.18965337252,12.106173909339999,12.160915018279999
RPC,44.74438903756,46.08616055802,36.679066356839996
RPGLE,128.35232927767998,135.71964692906,116.80193383352
RPM Spec,42.75917235056,38.28523925952,42.02153421284
RUNOFF,58.90786347008,52.95322482036,49.40262811012
Racket,27.49607928104,30.846301742679998,25.22342718556
Ragel,49.35083575456,43.42143349002,39.326414086839996
Raku,344.49908442748,328.31070329816,320.91444118172
Rascal,68.89488105859999,68.8142615712,67.8754461214
ReScript,16.74898196552,12.47228124534,12.07643706328
Readline Config,14.96397552352,15.17100504634,14.77747275428
Reason,85.39859968412,80.62888798904,74.01571230168
ReasonLIGO,14.70463839452,13.88053222234,12.85554708728
Rebol,89.03379357612,78.02432327704,74.95026375468
Record Jar,15.379482973,13.76839721034,12.61054515228
Red,29.327080938039998,28.418289558679998,27.66642206756
Redirect Rules,13.11689738652,14.914436027339999,14.15671172828
Regular Expression,53.24973952608,54.31740702536,57.675877535119994
RenPy,15.461072654,12.19084298784,11.79565280328
RenderScript,31.10293908704,26.831387102679997,24.06278455956
Rez,45.14590563456,39.42306037502,37.19420507684
Rich Text Format,29.28779171304,29.41949399168,26.04783361456
Ring,56.17940900608,56.49053487336,56.74448301712
Riot,28.76103578404,28.49858937268,24.59936091956
RobotFramework,61.74580153308,49.58151271836,52.889254158119996
Roc,61.87185270908,53.94234348936,50.29075349512
Roff,285.613055981,244.17918415711998,223.12021479804
Roff Manpage,174.01986974324,159.39498422008,164.49985848736
RouterOS Script,56.75246697508,53.81210868436,54.29988374712
Ruby,556.11674357528,516.24548552676,469.80371775392
Rust,58.75922083108,48.37630097736,51.34681358812
