filename,cloc,go-enry,guesslang,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
DNS Zone,0.42736910904000003,0.05485105852,5.126474547239999,0.03126537732,0.8638052876800001,0.15238730820000002,0.45013924076,0.26515328695999996
DTrace,0.65830088756,0.08261680928000001,7.857254225359999,0.04862297998,1.46558386352,0.2405007493,0.86070580914,0.39302769144
Dafny,0.42582860204000006,0.054417242520000006,4.94947936024,0.03133277632,0.9127165796800001,0.1549522872,0.49451446676,0.26106959096
Dart,0.21183597352,0.02711839876,2.45744024114,0.016542650659999998,0.45642587984000005,0.0774539321,0.22522090938000003,0.12853322848
DataWeave,1.0679600286,0.1391225458,12.5386962146,0.0783351473,2.2832243092,0.38493686950000006,1.2301608599,0.6515455234
Debian Package Control File,0.42520397104,0.05780918652,4.85943985624,0.03174146532,1.35801775168,0.1520242292,0.45900111276000005,0.26327818595999997
DenizenScript,0.43229064204,0.05764003552000001,5.0946135972399995,0.030888413320000002,1.37210904668,0.17430117220000002,0.58469208076,0.26353954096
Dhall,0.42828112404,0.05157402052,5.26012680624,0.03031397632,0.88730304368,0.1702641702,0.49641435276,0.26129402496
Diff,0.21233327052,0.02776394876,2.5607907101199996,0.01586898466,0.46783507684000003,0.08284049410000001,0.16260423938000002,0.13177591848
DirectX 3D File,0.21581228352,0.02760193276,2.62807118412,0.01581992666,0.47586345084000004,0.0778478781,0.22591938938000003,0.13023493148
Dockerfile,0.42588285604,0.05503610552,5.123932272239999,0.028962746320000003,0.9211965186800001,0.1710701782,0.46806176876000005,0.26677587195999997
Dogescript,0.21605696652,0.02882549576,2.44460579914,0.01565892466,0.45548421584000004,0.0983365831,0.22207594538000003,0.12624751948
Dotenv,3.08730079228,0.36361600764,35.12321843468,0.21585829424,6.3852616307600005,1.1484608914,3.2433047103200003,1.8242958707199999
Dune,0.21371991752,0.03117997076,2.55139391812,0.01528328766,0.45107245184000005,0.0795509741,0.26434571038000004,0.13233259548
E,1.49147149164,0.19480306232,17.65351733284,0.10893961462000001,3.2798815408800004,0.6009544317,1.7568160696600001,0.92167663836
E-mail,0.21258524352000002,0.02710964076,2.40093984412,0.01538332566,0.45031266684000004,0.0771550941,0.23806614738000004,0.13529956448
EBNF,0.84693461408,0.10853351604,10.196715918479999,0.060843742640000004,1.8161274563600003,0.3128719004,1.13712726352,0.58903690192
ECL,0.21249315452,0.027400981760000002,2.44286048314,0.01584854966,0.46544644984000005,0.0985555451,0.22171934538000002,0.12988925848
ECLiPSe,0.21389194052000002,0.02748152076,2.46599592812,0.014379760660000001,0.47434019984000003,0.0775818031,0.24041407338000004,0.13432876548
EJS,1.0680138026000001,0.13591479680000002,12.079199193700001,0.0799861913,2.1720241202,0.3900228805,1.1820724349,0.6375327824
EQ,0.6471284045600001,0.07633334527999999,7.703273524359999,0.04850442198,1.3863457595200002,0.24952558930000002,0.71687975414,0.39464338444
Eagle,0.43789403304,0.14282182552,4.97663935728,0.036872699319999994,1.4463614736800001,0.1556175082,0.67424337176,0.25269604696000003
Earthly,0.21440211252000002,0.02458864376,2.53200101212,0.014916628660000002,0.44312794484,0.0812295861,0.27942062038000004,0.13174702448
Easybuild,0.21208834052,0.027102078760000002,2.50136448412,0.01588016466,0.45026975784,0.07799121710000001,0.25709580938000004,0.13089278548
Ecmarkup,0.21654945452000002,0.02896288276,2.51228745812,0.015369242660000003,0.47423413784,0.0815464961,0.26851552238000004,0.15170931448
Edge,0.21329415752,0.02768477676,2.49875025812,0.01575942266,0.74199431084,0.0710892251,0.20647450738000003,0.13232764248
EdgeQL,0.42378308304,0.05766328452,4.92794193624,0.030363342320000004,0.87894459368,0.18821678220000002,0.4683684397600001,0.26038807796
EditorConfig,0.64885711356,0.07588938028,7.746727245359999,0.04789392498,1.37008528452,0.2567614153,0.72750502614,0.39934033444
Edje Data Collection,0.21368405052,0.02674556176,2.7006517841199997,0.01738554666,0.44111067184,0.08123415710000001,0.22577091638000002,0.12964542448
Eiffel,1.5106944046400002,0.19669833832,17.15838694784,0.10625139662000001,3.2620412248800004,0.5308604597000001,1.82375300366,0.91522743336
Elixir,1.28184634812,0.17105316856,14.687239910840002,0.09565732596,2.81890825204,0.5034059026,1.6864829782800002,0.77114762488
Elm,0.64118215056,0.08419246128,7.588610709359999,0.04793347598,1.3827318475200001,0.25000078530000003,0.8073240981400001,0.39833048544
Elvish,0.21397918952,0.02650709176,2.52757458112,0.01563055066,0.43805427584,0.0791162851,0.27738961138,0.12961343448
Emacs Lisp,2.34446012272,0.30999178336,27.58791668432,0.17466858726,5.07327699824,0.9517409121,2.4859394701800004,1.46174707928
EmberScript,0.21578463852000002,0.02602073376,2.53826159512,0.016007622659999998,0.47546259684000003,0.0886427291,0.22276476638000003,0.13877612648
