filename,cloc,go-enry,hyperpolyglot,linguist,magika,pygments-file-content,pygments-filename
FIRRTL,0.39017911996,0.04827934576000001,0.02334608824,0.7867831171599999,0.12431308292000001,0.48606323244000005,0.26096389916000007
FLUX,0.78517398492,0.09474853652000001,0.04254643348000001,2.37611474532,0.24404027484000002,0.92799679088,0.5180656183200001
Fantom,0.38855312796,0.04916398376000001,0.02366874624,0.78133247516,0.11881919692000001,0.46091601544000005,0.26229850716
Faust,0.39542146196000005,0.04801214376000001,0.02358178624,0.81657760516,0.12451438792,0.48574980344000007,0.26035563916000004
Fennel,0.39633830196000003,0.04930547276000001,0.02210193124,0.7986047761599999,0.13144761492,0.49951791444000004,0.27070453016000007
Filebench WML,0.19376489248,0.02407685488,0.01144854012,0.40762930258,0.06086844896,0.21965490822,0.13089668158
Filterscript,0.39097296196000003,0.049441792760000006,0.02176635924,0.83364551316,0.12303690092,0.45342223444,0.27881130716
Fluent,0.9862612324000001,0.11840490340000001,0.0605836546,2.0522714869,0.30267158180000003,1.2819390921,0.6517049489000001
Formatted,0.60934875144,0.18157678864,0.035950188359999996,1.62993682374,0.17835518888000002,1.7635312226600002,0.39905014674000006
Forth,3.13548117968,0.37247699208000007,0.18234045792,6.39355962328,0.98188106636,4.053219818520001,2.0914929192800003
Fortran,0.9683579934000001,0.11652306540000001,0.060905998600000004,2.0465594279,0.3228923918,1.1237387901,0.6511893929000001
FreeBASIC,0.7878393019200001,0.09376808352000002,0.044804138480000005,1.61980380432,0.24537318984,0.9658307068800001,0.5527612013200001
FreeMarker,0.40120281596,0.048092604760000005,0.02169577224,0.81582647016,0.12250029392,0.45520792144,0.26050086516000004
Frege,0.7903724429200001,0.10252909452000002,0.046811206480000006,1.6572802313200001,0.24659277584000003,0.98603342988,0.5196271093200001
Fstar,0.5896765584400001,0.06789297164000001,0.03513461736,1.18993451374,0.18250789588,0.74726115066,0.39345584674000006
Futhark,0.19712887348000002,0.022653806880000002,0.01087300012,0.39588043858,0.06114772796,0.23678578422000002,0.12987463158
G-code,0.59834377444,0.07620875064000002,0.036177811360000006,1.21596486474,0.18541277088,0.73453563166,0.42680914974000006
GAML,1.1753195228800002,0.15411564328000002,0.06919660672,2.37684773748,0.36965264776,1.67378196132,0.7823331794800001
GAMS,0.19204851048000002,0.025391485880000002,0.01228475612,0.39472987858,0.06160075796,0.23358560822000002,0.12967491558000002
GAP,1.7791276593200003,0.23008016192000003,0.10156845208000001,3.68140718522,0.53952820964,2.07089733698,1.1929887292200003
GCC Machine Description,0.22434779348000003,0.03710472288,0.014350077120000002,0.42689139958,0.06376850496000001,0.22589640322,0.14703681158
GDB,0.39564154496000004,0.049545290760000006,0.02367152924,0.79494571516,0.11957462492000001,0.47790322744,0.25925211116
GDScript,0.7852861949200001,0.09442827252000001,0.04563459448,1.64763519732,0.24930397284000003,0.69122372188,0.5262129793200001
GEDCOM,0.19486959748000002,0.023199502880000004,0.010802006119999999,0.44436285758,0.06121228996,0.47991041222,0.13017057958000003
GLSL,3.9290902766,0.47959601460000006,0.23154086740000002,8.735363876600001,1.2229451402,4.942877832400001,2.6051113496000005
GN,2.1494971462800003,0.25633932568000006,0.12461324032000001,4.40982783938,0.66885017156,3.23585485242,1.4335763733800002
GSC,1.1839981218800002,0.15053604728000003,0.06922843072,2.38486580848,0.37093546276,1.5351455073200002,0.7824356604800001
Game Maker Language,2.15595341828,0.28327231968000005,0.12837812032,4.57962742738,0.68243281856,2.44621475542,1.43168553938
Gemfile.lock,0.19519041248000002,0.023612525880000002,0.01195730612,0.39573748858,0.06252100196,0.26140784522,0.12962202958000002
Gemini,0.19732117348,0.023339990880000005,0.01155109612,0.39680143458,0.06108038096,0.25489042122,0.12909021158000003
Genero 4gl,0.59090944844,0.06945664964,0.03347104636,1.18178701674,0.18647358188000002,0.66750289266,0.39042979574000003
Genero per,0.19643227148,0.024306656880000003,0.01050686512,0.39492922858,0.06149392396,0.22035655522,0.12975139758
Genie,0.7799610879200001,0.09428853452000002,0.045941231480000004,1.9731127533200001,0.25149584484000004,0.9184850788800001,0.5311013223200001
Gerber Image,3.5053498716400004,0.46450771584000006,0.21296364816000002,7.22392449944,1.10587956128,3.9937141529600004,2.3382331264400005
Gherkin,0.38829645796,0.04495865576000001,0.02332112324,0.79006790716,0.12578955192000002,0.45559090044000006,0.26254029616
Git Attributes,0.19064687648,0.024510283880000004,0.01204788612,0.39502215458,0.06110221296,0.22101044222000002,0.13024955058
Git Config,0.57732312444,0.07101284164000002,0.033389102360000006,1.18698109574,0.18798296188000002,0.67319308066,0.39071744174000006
Git Revision List,0.19610695748,0.022679900880000003,0.012040633120000001,0.39547945958,0.06111266196,0.21950994022,0.12996263858
Gleam,0.39010051296000003,0.05034348776000001,0.023796096239999998,0.7974750321599999,0.13039728692000002,0.46084805644000004,0.25964775216
Glimmer JS,0.38811585496,0.047544815760000005,0.02242956224,0.7853646641600001,0.11778132192,0.44958453644,0.26012645016
Glimmer TS,0.38922700896000006,0.048722548760000005,0.022426749240000002,0.83194857216,0.12080782092,0.44945284544,0.26008787616000006
Glyph Bitmap Distribution Format,0.19516698148,0.024044697880000004,0.01175254512,0.40422977958,0.05829726996,0.22083406322000002,0.12975413358000001
Gnuplot,1.5968477728400001,0.18748380704,0.09347258796,3.36357367964,0.46677431168,1.8205723097600002,1.0430060116400002
Go,0.80005109892,0.09510230152000002,0.047457273480000006,1.6084883583199998,0.24353913384,1.28757536188,0.5213418573200002
Go Checksums,0.39482956496,0.04834332376,0.022012007240000003,0.7992507921600001,0.12460899292,0.44602991944000003,0.25936101316000004
Go Module,0.19056330848000003,0.024797641880000002,0.011771610120000001,0.39062810158,0.06462853796000001,0.22587118622000002,0.12931884658
Go Workspace,0.19533421448000002,0.025092430880000002,0.012150678120000001,0.40318243257999997,0.061578396960000004,0.22389540622,0.13027278958000002
Godot Resource,0.9871271814,0.12107995640000002,0.0573010896,1.9649590699,0.3095832288,1.1128575111,0.6450964309000001
